交易时间	公众账号ID	商户号	特约商户号	设备号	微信订单号	商户订单号	用户标识	交易类型	交易状态	付款银行	货币种类	应结订单金额	代金券金额	微信退款单号	商户退款单号	退款金额	充值券退款金额	退款类型	退款状态	公司名称	商户数据包	手续费	费率	订单金额	申请退款金额	费率备注				值	
`2020-08-19 12:06:36	`wx271ae48b10918188	`1516858981	`0	`	`4200000676202008195615000169	`650651153931280954	`oJdiI1EU6-j5ycSuTvHep4m7fWC4	`NATIVE	`SUCCESS	`OTHERS	`CNY	`6.00	`0.00	`0	`0	`0.00	`0.00	`	`	瀚晖制药有限公司	`r	`0.04000	`0.60%	6	0	`					
`2020-08-19 14:41:19	`wx271ae48b10918188	`1516858981	`0	`	`4200000676202008190046213363	`290651163222729363	`oJdiI1DWMY0GGs2fz7UZ9BJjb21o	`NATIVE	`SUCCESS	`OTHERS	`CNY	`5.00	`0.00	`0	`0	`0.00	`0.00	`	`	华住集团	`r	`0.03000	`0.60%	5	0	`					
`2020-08-19 15:19:09	`wx271ae48b10918188	`1516858981	`0	`	`4200000677202008197036325369	`930651165498702668	`oJdiI1LfSlxsjuaD-8MGhAJoTqA0	`NATIVE	`SUCCESS	`CMB_DEBIT	`CNY	`22.00	`0.00	`0	`0	`0.00	`0.00	`	`	广汽菲克	`r	`0.13000	`0.60%	22	0	`					
`2020-08-19 16:24:55	`wx271ae48b10918188	`1516858981	`0	`	`4200000680202008193459467862	`100651169439038713	`oJdiI1Mm5b5TDcfE6cEGVNo6yRKQ	`NATIVE	`SUCCESS	`OTHERS	`CNY	`13.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.08000	`0.60%	13	0	`					
`2020-08-20 09:48:23	`wx271ae48b10918188	`1516858981	`0	`	`4200000688202008205245614500	`440651232040358296	`oJdiI1KNaSsacgt9C9lzz6tlM8xo	`NATIVE	`SUCCESS	`OTHERS	`CNY	`8.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.05000	`0.60%	8	0	`					
`2020-08-20 11:23:00	`wx271ae48b10918188	`1516858981	`0	`	`4200000675202008202140270552	`740651237739724333	`oJdiI1I_275HRFHetigfPYu6DuEQ	`JSAPI	`SUCCESS	`OTHERS	`CNY	`8.00	`0.00	`0	`0	`0.00	`0.00	`	`	恩思恩有限公司	`r	`0.05000	`0.60%	8	0	`					
`2020-08-20 13:43:55	`wx271ae48b10918188	`1516858981	`0	`	`4200000680202008204054691312	`390651246203992236	`oJdiI1AteiVeOxVcyQgyeuLsLrW4	`NATIVE	`SUCCESS	`OTHERS	`CNY	`38.00	`0.00	`0	`0	`0.00	`0.00	`	`	蒂森克虏伯	`r	`0.23000	`0.60%	38	0	`					
`2020-08-20 18:41:21	`wx271ae48b10918188	`1516858981	`0	`	`4200000686202008202891418560	`300651263403647454	`oJdiI1FuFpgYwmgqoBFEYFj_DjIA	`NATIVE	`SUCCESS	`ICBC_CREDIT	`CNY	`17.00	`0.00	`0	`0	`0.00	`0.00	`	`	拉格代尔商业（上海）有限公司	`r	`0.10000	`0.60%	17	0	`					
`2020-08-22 11:36:34	`wx271ae48b10918188	`1516858981	`0	`	`4200000692202008220627379589	`370651410956600635	`oJdiI1LfUsmwQKzplvoeGX7yLTeU	`NATIVE	`SUCCESS	`OTHERS	`CNY	`107.00	`0.00	`0	`0	`0.00	`0.00	`	`	易鑫	`r	`0.64000	`0.60%	107	0	`					
`2020-08-24 09:24:09	`wx271ae48b10918188	`1516858981	`0	`	`4200000698202008249364644011	`520651575837128466	`oJdiI1EaWafD7UtFH-gUe14irNDQ	`NATIVE	`SUCCESS	`CMB_DEBIT	`CNY	`4.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.02000	`0.60%	4	0	`					
